Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division,Water Company,Sewage Company,District,Ward,County Electoral Division
EX4 9AE,Yes,50.737869,-3.502101,294101,94216,SX941942,1/1/1980 12:00:00 AM,,67,26,10,Polsloe Bridge,0.7,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9AF,Yes,50.739101,-3.503402,294012,94355,SX940943,1/1/1980 12:00:00 AM,,77,115,50,Polsloe Bridge,0.9,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9AL,Yes,50.739675,-3.504229,293955,94420,SX939944,5/1/2011 12:00:00 AM,,80,,,Polsloe Bridge,0.9,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9AW,Yes,50.740158,-3.504541,293934,94474,SX939944,10/1/1984 12:00:00 AM,,83,35,17,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BH,Yes,50.739894,-3.501996,294113,94441,SX941944,1/1/1980 12:00:00 AM,,79,41,18,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BJ,Yes,50.739850,-3.499089,294318,94432,SX943944,1/1/1980 12:00:00 AM,,73,64,32,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BL,Yes,50.739917,-3.500905,294190,94442,SX941944,1/1/1980 12:00:00 AM,,78,19,8,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BN,Yes,50.740202,-3.499015,294324,94471,SX943944,1/1/1980 12:00:00 AM,,76,40,21,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BP,Yes,50.740698,-3.501696,294136,94530,SX941945,1/1/1980 12:00:00 AM,,87,121,63,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BQ,Yes,50.740058,-3.503234,294026,94461,SX940944,1/1/1980 12:00:00 AM,,82,16,6,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BR,Yes,50.740969,-3.500146,294246,94558,SX942945,1/1/1980 12:00:00 AM,,86,16,6,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BS,Yes,50.741101,-3.501184,294173,94574,SX941945,1/1/1980 12:00:00 AM,,90,48,24,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BT,Yes,50.741475,-3.501423,294157,94616,SX941946,1/1/1980 12:00:00 AM,,92,55,27,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BU,Yes,50.741841,-3.500967,294190,94656,SX941946,1/1/1980 12:00:00 AM,,92,15,6,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BW,Yes,50.740397,-3.499985,294256,94494,SX942944,1/1/1980 12:00:00 AM,,82,25,12,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BX,Yes,50.742177,-3.500680,294211,94693,SX942946,1/1/1980 12:00:00 AM,,91,125,50,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BY,Yes,50.741285,-3.499461,294295,94592,SX942945,1/1/1980 12:00:00 AM,,85,32,12,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9BZ,Yes,50.740953,-3.498643,294352,94554,SX943945,1/1/1980 12:00:00 AM,,80,103,44,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9DA,Yes,50.740009,-3.497238,294449,94447,SX944944,1/1/1980 12:00:00 AM,,69,68,37,Polsloe Bridge,1.0,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9DS,Yes,50.740888,-3.504437,293943,94555,SX939945,6/1/1981 12:00:00 AM,,87,66,32,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9ED,Yes,50.741289,-3.503982,293976,94599,SX939945,1/1/1980 12:00:00 AM,,91,108,41,Polsloe Bridge,1.1,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EE,Yes,50.741623,-3.505269,293886,94638,SX938946,1/1/1980 12:00:00 AM,,91,26,9,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EF,Yes,50.741700,-3.502833,294058,94643,SX940946,1/1/1980 12:00:00 AM,,95,49,21,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EG,Yes,50.742086,-3.502208,294103,94685,SX941946,1/1/1980 12:00:00 AM,,97,42,21,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EH,Yes,50.742003,-3.503722,293996,94678,SX939946,1/1/1980 12:00:00 AM,,97,38,18,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EJ,Yes,50.741970,-3.504203,293962,94675,SX939946,1/1/1980 12:00:00 AM,,96,32,13,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
EX4 9EQ,Yes,50.742318,-3.503051,294044,94712,SX940947,1/1/1980 12:00:00 AM,,100,19,9,Polsloe Bridge,1.2,Exeter,Exeter,South West Water,,Exeter,Mincinglake and Whipton,Pinhoe & Mincinglake
